GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
company-profile-search-consumer,uk.gov.companieshouse.companyprofile.search.consumer,SearchConsumer,47,0,4,0,13,0,4,0,2,0
company-profile-search-consumer,uk.gov.companieshouse.companyprofile.search.deserialiser,CompanyProfileDeserialiser,29,0,0,0,8,0,2,0,2,0
company-profile-search-consumer,uk.gov.companieshouse.companyprofile.search.logging,StructuredLoggingKafkaListenerAspect,0,169,0,8,0,39,0,9,0,5
company-profile-search-consumer,uk.gov.companieshouse.companyprofile.search.logging,DataMapHolder,0,35,0,0,0,11,0,7,0,7
company-profile-search-consumer,uk.gov.companieshouse.companyprofile.search.config,ApplicationConfig,49,0,0,0,14,0,7,0,7,0
company-profile-search-consumer,uk.gov.companieshouse.companyprofile.search.config,LoggingConfig,7,0,0,0,2,0,2,0,2,0
company-profile-search-consumer,uk.gov.companieshouse.companyprofile.search.config,KafkaConfig,136,0,0,0,30,0,6,0,6,0
company-profile-search-consumer,uk.gov.companieshouse.companyprofile.search,Application,8,0,0,0,3,0,2,0,2,0
company-profile-search-consumer,uk.gov.companieshouse.companyprofile.search.service,ApiClientService,0,86,0,0,0,31,0,4,0,4
company-profile-search-consumer,uk.gov.companieshouse.companyprofile.search.service,ResponseHandler,0,90,0,4,0,12,0,6,0,4
company-profile-search-consumer,uk.gov.companieshouse.companyprofile.search.processor,SearchProcessor,0,87,2,6,0,26,2,5,0,3
